Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
bag_buckle,95.9 ± 1.0,99.5 ± 0.1,96.9 ± 0.3,99.6 ± 0.1,77.7 ± 1.6,74.2 ± 1.6,97.4 ± 0.3,36.8 ± 3.5,19.2 ± 5.2,12.8 ± 4.9,97.5 ± 0.8,99.7 ± 0.1,96.8 ± 0.6,38.7 ± 10.1,20.0 ± 6.9,2.7 ± 2.3
ball_pin,96.1 ± 0.2,99.5 ± 0.0,96.3 ± 0.1,99.2 ± 0.1,69.6 ± 0.1,62.5 ± 0.1,95.7 ± 0.1,47.6 ± 2.8,32.5 ± 2.8,11.9 ± 1.4,99.5 ± 0.1,99.9 ± 0.0,99.0 ± 0.3,8.0 ± 0.0,2.7 ± 2.3,0.0 ± 0.0
balun_transformer,82.9 ± 0.3,96.7 ± 0.2,91.7 ± 0.1,96.0 ± 0.2,74.2 ± 1.0,71.6 ± 1.3,70.0 ± 1.0,93.0 ± 2.0,80.8 ± 2.3,62.4 ± 3.0,90.3 ± 0.6,98.6 ± 0.1,95.9 ± 0.6,53.3 ± 9.2,37.3 ± 6.1,29.3 ± 2.3
battery,71.9 ± 1.7,93.7 ± 0.5,94.1 ± 0.1,88.5 ± 0.2,16.7 ± 0.3,22.5 ± 0.6,58.3 ± 0.1,90.9 ± 1.6,79.6 ± 5.2,66.1 ± 4.3,77.7 ± 2.0,95.1 ± 0.7,94.4 ± 0.3,85.3 ± 10.1,66.7 ± 8.3,52.0 ± 4.0
battery_holder_connector,90.1 ± 1.3,98.6 ± 0.2,95.0 ± 0.3,88.0 ± 0.4,41.8 ± 3.3,41.5 ± 4.1,78.9 ± 1.2,67.7 ± 6.0,46.8 ± 1.2,33.9 ± 2.2,97.6 ± 0.6,99.7 ± 0.1,97.9 ± 0.5,20.0 ± 10.6,13.3 ± 6.1,10.7 ± 2.3
battery_socket_connector,70.3 ± 2.2,93.4 ± 0.5,92.8 ± 0.1,89.1 ± 0.4,46.2 ± 3.3,45.9 ± 3.0,61.6 ± 0.9,84.9 ± 4.1,79.5 ± 4.8,73.6 ± 4.9,87.3 ± 1.6,98.3 ± 0.2,94.7 ± 0.2,81.3 ± 8.3,70.7 ± 2.3,48.0 ± 10.6
bend_connector,87.7 ± 0.2,98.0 ± 0.1,93.6 ± 0.2,92.1 ± 0.1,44.7 ± 0.1,47.0 ± 0.3,69.0 ± 0.3,81.7 ± 3.4,63.9 ± 1.4,39.6 ± 0.7,95.5 ± 0.9,99.3 ± 0.2,97.3 ± 0.2,32.0 ± 8.0,21.3 ± 2.3,10.7 ± 6.1
blade_switch,89.4 ± 2.4,98.2 ± 0.5,96.1 ± 0.2,95.3 ± 0.1,56.5 ± 0.4,57.0 ± 0.3,75.2 ± 0.3,49.9 ± 5.1,35.7 ± 3.0,26.4 ± 5.0,89.6 ± 3.1,98.2 ± 0.6,97.8 ± 0.5,26.7 ± 9.2,22.7 ± 6.1,21.3 ± 4.6
blue_light_switch,73.5 ± 1.4,93.1 ± 0.9,92.7 ± 0.1,84.7 ± 0.1,23.6 ± 2.5,32.8 ± 0.7,66.7 ± 0.3,90.9 ± 0.0,80.1 ± 0.3,67.5 ± 3.6,69.5 ± 8.8,93.1 ± 1.9,94.4 ± 0.1,93.3 ± 2.3,86.7 ± 2.3,76.0 ± 4.0
bluetooth_module,94.6 ± 1.0,99.3 ± 0.1,96.0 ± 0.3,94.9 ± 0.1,69.6 ± 0.2,63.5 ± 0.2,82.6 ± 0.3,55.7 ± 6.4,32.3 ± 3.9,19.5 ± 4.5,97.7 ± 1.0,99.7 ± 0.1,98.2 ± 1.0,21.3 ± 12.9,14.7 ± 11.5,6.7 ± 2.3
boost_converter_module,78.6 ± 1.8,95.1 ± 0.5,91.5 ± 0.2,93.3 ± 0.2,66.9 ± 0.9,63.6 ± 0.8,68.0 ± 0.9,88.4 ± 5.0,79.4 ± 4.7,64.5 ± 4.3,83.9 ± 2.1,97.5 ± 0.3,95.2 ± 0.4,73.3 ± 10.1,62.7 ± 10.1,49.3 ± 12.9
bread_model,85.1 ± 0.2,97.3 ± 0.1,93.1 ± 0.2,96.7 ± 0.0,65.8 ± 0.3,66.9 ± 0.3,87.4 ± 0.1,80.5 ± 1.7,69.5 ± 2.1,53.5 ± 1.3,90.4 ± 2.0,98.6 ± 0.3,96.1 ± 0.3,60.0 ± 4.0,41.3 ± 11.5,24.0 ± 6.9
brooch_clasp_accessory,98.9 ± 0.1,99.9 ± 0.1,98.2 ± 0.3,98.0 ± 0.0,77.6 ± 0.3,75.7 ± 0.2,93.0 ± 0.1,12.8 ± 4.4,1.9 ± 0.9,0.7 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,88.2 ± 1.1,98.2 ± 0.2,94.9 ± 0.2,91.3 ± 0.1,42.9 ± 0.3,45.0 ± 0.2,75.7 ± 0.2,70.1 ± 2.0,47.6 ± 4.0,32.3 ± 3.5,86.9 ± 2.3,98.1 ± 0.3,94.8 ± 0.5,77.3 ± 6.1,61.3 ± 12.2,38.7 ± 16.2
button_motor,96.9 ± 0.2,99.6 ± 0.0,97.1 ± 0.3,97.8 ± 0.1,75.0 ± 0.1,73.3 ± 0.1,84.4 ± 0.1,32.0 ± 6.0,16.0 ± 2.9,6.4 ± 0.8,97.6 ± 0.2,99.6 ± 0.1,98.5 ± 0.3,14.7 ± 4.6,9.3 ± 2.3,4.0 ± 0.0
button_switch,90.9 ± 0.8,98.9 ± 0.2,94.1 ± 0.1,99.3 ± 0.0,86.7 ± 0.2,80.4 ± 0.3,82.5 ± 0.2,89.6 ± 2.1,76.5 ± 0.9,30.9 ± 3.6,99.3 ± 0.6,99.9 ± 0.1,99.0 ± 0.3,6.7 ± 4.6,2.7 ± 4.6,1.3 ± 2.3
car_door_lock_switch,76.7 ± 4.7,96.1 ± 1.0,94.1 ± 0.1,93.2 ± 0.2,53.0 ± 3.3,52.3 ± 2.2,75.9 ± 0.8,85.9 ± 2.6,74.9 ± 5.9,62.7 ± 9.9,70.9 ± 5.3,95.0 ± 1.4,94.1 ± 0.0,93.3 ± 6.1,74.7 ± 6.1,61.3 ± 8.3
ceramic_fuse,78.2 ± 5.1,96.4 ± 0.9,94.2 ± 0.0,91.4 ± 0.1,30.3 ± 2.6,36.5 ± 2.5,75.5 ± 0.5,91.2 ± 2.4,87.2 ± 6.2,69.3 ± 14.3,91.8 ± 2.0,98.3 ± 0.4,97.7 ± 0.9,29.3 ± 18.0,25.3 ± 14.0,20.0 ± 10.6
ceramic_wave_filter,91.2 ± 1.1,98.6 ± 0.1,95.4 ± 0.3,90.9 ± 0.2,56.4 ± 0.1,60.6 ± 0.2,73.4 ± 0.1,60.3 ± 5.3,48.8 ± 7.3,30.4 ± 7.6,94.2 ± 0.5,99.1 ± 0.1,97.4 ± 0.4,28.0 ± 4.0,18.7 ± 4.6,14.7 ± 2.3
charging_port,88.8 ± 0.7,98.2 ± 0.2,94.8 ± 0.4,89.5 ± 0.1,40.2 ± 0.2,39.4 ± 0.3,77.5 ± 0.2,65.9 ± 4.5,50.6 ± 2.4,37.8 ± 2.6,96.5 ± 0.7,99.5 ± 0.1,97.9 ± 0.4,28.0 ± 6.9,21.3 ± 4.6,12.0 ± 0.0
chip-inductor,86.1 ± 1.2,97.9 ± 0.2,94.7 ± 0.3,89.2 ± 0.1,44.4 ± 0.2,42.2 ± 0.2,79.3 ± 0.1,72.8 ± 5.3,55.3 ± 4.8,41.3 ± 4.8,88.7 ± 0.8,98.4 ± 0.1,95.5 ± 0.7,61.3 ± 14.0,50.7 ± 2.3,38.7 ± 4.6
circuit_breaker,92.8 ± 0.5,99.0 ± 0.1,95.8 ± 0.1,98.2 ± 0.0,73.8 ± 0.8,69.4 ± 0.9,87.9 ± 0.1,54.6 ± 1.6,38.9 ± 1.2,26.5 ± 1.6,99.1 ± 0.5,99.9 ± 0.1,99.2 ± 0.3,5.3 ± 2.3,5.3 ± 2.3,5.3 ± 2.3
circular_aviation_connector,68.7 ± 1.1,89.5 ± 0.3,87.6 ± 0.0,67.7 ± 0.2,13.0 ± 0.5,19.1 ± 0.4,41.0 ± 0.1,96.1 ± 1.4,92.1 ± 2.3,82.7 ± 2.8,90.9 ± 2.2,98.5 ± 0.6,96.1 ± 0.6,54.7 ± 9.2,38.7 ± 10.1,24.0 ± 6.9
common-mode-choke,75.7 ± 0.3,93.3 ± 0.4,91.4 ± 0.1,96.7 ± 0.0,63.8 ± 0.3,60.8 ± 0.1,83.7 ± 0.2,85.9 ± 1.6,68.8 ± 0.6,59.2 ± 3.8,82.5 ± 1.3,97.5 ± 0.4,94.3 ± 0.2,88.0 ± 10.6,68.0 ± 6.9,57.3 ± 9.2
common-mode-filter,93.3 ± 1.2,99.0 ± 0.2,96.6 ± 0.2,93.5 ± 0.1,43.6 ± 0.6,43.0 ± 0.3,76.3 ± 0.2,39.5 ± 3.2,27.0 ± 3.2,19.3 ± 3.8,95.1 ± 1.9,99.3 ± 0.3,97.2 ± 1.0,33.3 ± 16.2,28.0 ± 13.9,21.3 ± 9.2
connector,91.9 ± 1.2,98.8 ± 0.2,94.8 ± 0.4,86.4 ± 0.4,62.9 ± 2.0,59.5 ± 2.9,75.5 ± 1.5,72.6 ± 4.5,47.7 ± 5.8,26.9 ± 5.4,95.9 ± 3.6,99.4 ± 0.6,96.8 ± 1.4,40.0 ± 22.3,30.7 ± 18.9,5.3 ± 9.2
connector_housing-female,95.2 ± 0.6,99.2 ± 0.1,97.1 ± 0.1,87.3 ± 0.1,49.3 ± 1.0,52.4 ± 0.7,81.8 ± 0.1,32.3 ± 1.6,19.8 ± 1.4,13.8 ± 0.9,97.6 ± 1.9,99.7 ± 0.3,98.8 ± 0.9,14.7 ± 9.2,12.0 ± 10.6,10.7 ± 9.2
console_switch,96.3 ± 0.2,99.5 ± 0.0,96.9 ± 0.1,79.0 ± 0.1,26.8 ± 0.4,32.3 ± 0.3,75.4 ± 0.1,35.7 ± 1.8,18.7 ± 2.4,10.7 ± 1.7,99.0 ± 0.3,99.9 ± 0.1,98.6 ± 0.1,9.3 ± 2.3,6.7 ± 2.3,2.7 ± 4.6
crimp_st_cable_mount_box,87.9 ± 3.4,98.0 ± 0.7,93.7 ± 0.3,97.0 ± 0.3,62.0 ± 3.1,62.8 ± 4.2,91.2 ± 1.3,81.2 ± 6.5,58.9 ± 7.0,34.7 ± 5.9,88.7 ± 6.0,98.3 ± 0.9,96.1 ± 0.3,54.7 ± 8.3,41.3 ± 16.7,33.3 ± 23.4
dc_jack,91.0 ± 0.5,98.3 ± 0.1,93.9 ± 0.3,88.8 ± 0.3,51.3 ± 0.8,46.2 ± 0.9,83.1 ± 0.3,64.5 ± 4.7,49.4 ± 3.3,30.7 ± 1.8,98.0 ± 1.1,99.7 ± 0.1,98.4 ± 0.6,17.3 ± 8.3,10.7 ± 8.3,6.7 ± 4.6
dc_power_connector,94.6 ± 0.4,99.2 ± 0.1,96.5 ± 0.2,90.2 ± 0.1,27.0 ± 0.2,30.2 ± 0.1,82.0 ± 0.1,42.4 ± 3.7,26.9 ± 3.0,13.1 ± 2.4,96.5 ± 0.6,99.4 ± 0.1,98.3 ± 0.3,20.0 ± 6.9,13.3 ± 4.6,5.3 ± 2.3
detection_switch,83.6 ± 0.3,96.2 ± 0.1,91.6 ± 0.1,90.8 ± 0.0,45.9 ± 0.4,46.5 ± 0.3,65.9 ± 0.1,83.7 ± 1.1,73.5 ± 3.1,52.7 ± 2.0,93.9 ± 0.2,99.2 ± 0.0,95.6 ± 0.3,61.3 ± 8.3,45.3 ± 2.3,17.3 ± 4.6
duckbill_circuit_breaker,75.6 ± 2.7,95.6 ± 1.0,93.2 ± 0.0,94.5 ± 0.2,26.2 ± 5.2,29.1 ± 2.6,82.6 ± 1.0,97.4 ± 2.0,91.8 ± 3.4,75.4 ± 3.8,80.9 ± 7.8,96.9 ± 1.9,94.1 ± 0.2,90.7 ± 6.1,74.7 ± 8.3,58.7 ± 12.2
earphone_audio_unit,77.4 ± 2.3,95.9 ± 0.3,93.2 ± 0.2,94.1 ± 0.1,52.3 ± 1.0,50.7 ± 0.7,64.9 ± 0.9,92.9 ± 2.7,80.7 ± 4.8,63.7 ± 9.4,85.1 ± 1.0,97.9 ± 0.2,94.6 ± 0.2,88.0 ± 4.0,70.7 ± 2.3,46.7 ± 14.0
effect_transistor,84.3 ± 2.2,96.0 ± 0.8,91.0 ± 0.3,98.2 ± 0.1,81.5 ± 2.4,74.7 ± 2.8,84.1 ± 0.8,81.3 ± 3.7,68.5 ± 2.7,48.0 ± 1.8,87.0 ± 2.0,97.9 ± 0.5,94.9 ± 0.3,82.7 ± 12.2,50.7 ± 6.1,28.0 ± 4.0
electronic_watch_movement,78.8 ± 1.2,96.9 ± 0.3,94.1 ± 0.0,96.2 ± 0.5,54.0 ± 4.5,54.7 ± 4.0,66.5 ± 2.4,93.1 ± 0.5,82.7 ± 3.0,67.2 ± 0.8,82.1 ± 0.8,97.4 ± 0.2,94.1 ± 0.0,93.3 ± 4.6,86.7 ± 2.3,60.0 ± 4.0
ethernet-connector,93.8 ± 1.7,98.6 ± 0.5,96.1 ± 0.1,90.0 ± 0.2,20.7 ± 0.1,25.3 ± 0.4,81.7 ± 0.5,44.5 ± 2.9,20.0 ± 0.7,11.2 ± 1.8,93.5 ± 5.8,98.8 ± 1.1,97.8 ± 1.2,28.0 ± 17.4,22.7 ± 16.7,16.0 ± 14.4
ferrite_bead,84.5 ± 2.6,97.8 ± 0.4,93.7 ± 0.0,98.7 ± 0.0,76.0 ± 0.3,74.2 ± 0.2,87.0 ± 0.5,93.5 ± 6.0,82.6 ± 9.5,57.4 ± 10.4,86.5 ± 3.7,98.2 ± 0.5,94.7 ± 0.8,74.7 ± 18.0,70.7 ± 22.0,56.0 ± 25.0
ffc_connector_plug,90.7 ± 0.7,98.1 ± 0.2,94.4 ± 0.3,96.4 ± 0.7,43.1 ± 9.7,49.3 ± 9.5,67.2 ± 2.6,54.4 ± 6.1,46.8 ± 1.3,39.8 ± 4.9,93.8 ± 9.5,99.2 ± 1.3,97.4 ± 2.7,34.7 ± 42.8,29.3 ± 37.2,21.3 ± 37.0
flow_control_valve,85.6 ± 1.4,97.0 ± 0.5,93.8 ± 0.5,99.0 ± 0.1,54.1 ± 2.6,58.0 ± 3.6,92.5 ± 0.4,72.7 ± 7.2,55.1 ± 4.2,38.4 ± 1.5,83.9 ± 7.8,97.3 ± 1.4,94.8 ± 0.5,74.7 ± 4.6,57.3 ± 8.3,46.7 ± 12.2
flower_copper_shape,94.0 ± 0.7,99.2 ± 0.1,95.4 ± 0.3,95.9 ± 0.0,66.1 ± 0.2,63.1 ± 0.1,85.0 ± 0.1,64.5 ± 6.0,38.7 ± 5.2,20.0 ± 3.2,98.4 ± 0.6,99.8 ± 0.1,98.1 ± 0.4,17.3 ± 8.3,4.0 ± 4.0,2.7 ± 4.6
flower_velvet_fabric,95.4 ± 0.6,99.4 ± 0.1,96.5 ± 0.1,91.1 ± 0.1,71.9 ± 0.1,69.7 ± 0.0,82.3 ± 0.1,42.9 ± 3.8,25.6 ± 4.2,13.9 ± 1.7,95.7 ± 0.6,99.5 ± 0.1,96.8 ± 0.3,45.3 ± 12.9,25.3 ± 2.3,13.3 ± 2.3
fork-crimp-terminal,84.8 ± 0.3,95.2 ± 0.0,94.0 ± 0.3,98.4 ± 0.1,52.8 ± 1.3,50.5 ± 0.9,91.4 ± 0.2,56.7 ± 2.0,43.1 ± 2.6,33.3 ± 1.1,94.9 ± 0.6,98.6 ± 0.1,97.7 ± 0.5,24.0 ± 10.6,10.7 ± 6.1,6.7 ± 2.3
fuse_cover,81.9 ± 1.4,96.2 ± 0.4,92.2 ± 0.2,93.9 ± 0.1,65.0 ± 0.5,62.1 ± 0.4,80.8 ± 0.7,88.9 ± 1.2,72.5 ± 3.7,58.6 ± 1.5,83.3 ± 3.1,97.3 ± 0.5,96.3 ± 0.9,56.5 ± 19.0,44.9 ± 13.3,33.3 ± 13.3
fuse_holder,98.4 ± 0.4,99.8 ± 0.1,98.4 ± 0.1,95.8 ± 0.1,52.7 ± 0.2,54.1 ± 0.2,82.1 ± 0.1,17.6 ± 2.9,8.5 ± 4.5,4.8 ± 1.4,99.7 ± 0.1,99.9 ± 0.0,99.1 ± 0.3,4.0 ± 4.0,0.0 ± 0.0,0.0 ± 0.0
gear,98.0 ± 0.2,99.6 ± 0.0,98.9 ± 0.1,98.9 ± 0.1,80.7 ± 0.5,77.4 ± 0.2,95.4 ± 0.2,7.4 ± 0.5,5.6 ± 1.6,4.5 ± 0.5,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
gear_motor,81.2 ± 1.9,96.6 ± 0.5,95.4 ± 0.1,86.9 ± 0.2,19.2 ± 0.4,29.0 ± 0.6,79.7 ± 0.4,66.9 ± 0.9,56.8 ± 2.1,49.6 ± 4.2,79.5 ± 4.2,96.5 ± 1.0,96.0 ± 0.2,61.3 ± 2.3,54.7 ± 6.1,45.3 ± 2.3
green-ring-filter,79.9 ± 0.5,92.2 ± 0.1,88.9 ± 0.3,91.5 ± 0.1,21.1 ± 0.6,24.4 ± 0.5,66.5 ± 0.1,81.4 ± 2.4,67.3 ± 2.8,51.9 ± 2.1,90.7 ± 1.0,98.7 ± 0.1,95.5 ± 1.1,64.0 ± 18.3,44.0 ± 12.0,29.3 ± 2.3
hairdryer_switch,96.3 ± 0.3,99.5 ± 0.1,97.1 ± 0.2,98.9 ± 0.0,77.6 ± 0.1,73.9 ± 0.1,78.4 ± 0.3,34.4 ± 2.1,21.3 ± 0.5,11.7 ± 2.0,97.0 ± 1.0,99.6 ± 0.1,97.5 ± 0.6,32.0 ± 14.4,18.7 ± 6.1,10.7 ± 2.3
hall_effect_sensor,94.9 ± 0.3,99.1 ± 0.1,96.5 ± 0.4,98.2 ± 0.0,77.7 ± 0.1,71.8 ± 0.1,80.6 ± 0.1,47.5 ± 3.8,23.2 ± 2.9,7.7 ± 0.5,96.9 ± 0.1,99.3 ± 0.0,99.1 ± 0.1,5.3 ± 2.3,4.0 ± 0.0,4.0 ± 0.0
headphone_jack-female,96.9 ± 0.2,99.6 ± 0.0,97.7 ± 0.3,92.5 ± 0.0,60.5 ± 0.1,59.9 ± 0.1,83.5 ± 0.0,22.6 ± 3.7,13.4 ± 0.8,9.5 ± 1.3,98.7 ± 0.4,99.8 ± 0.1,98.9 ± 0.1,13.3 ± 2.3,6.7 ± 2.3,6.7 ± 2.3
headphone_jack_socket,87.9 ± 1.0,98.2 ± 0.2,94.0 ± 0.1,94.9 ± 0.5,56.3 ± 7.6,55.6 ± 6.7,89.1 ± 2.6,83.3 ± 2.5,62.0 ± 1.9,39.2 ± 3.5,92.3 ± 0.9,98.9 ± 0.2,95.9 ± 0.5,56.0 ± 10.6,36.0 ± 4.0,24.0 ± 4.0
hex_plug,93.4 ± 0.2,99.1 ± 0.1,95.2 ± 0.1,92.0 ± 0.0,61.2 ± 0.2,60.3 ± 0.1,77.6 ± 0.1,64.0 ± 2.1,47.5 ± 2.4,22.1 ± 1.2,99.9 ± 0.1,100.0 ± 0.0,99.6 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
humidity_sensor,96.4 ± 0.2,99.4 ± 0.0,97.0 ± 0.1,98.0 ± 0.0,51.9 ± 0.3,52.5 ± 0.3,92.5 ± 0.1,32.3 ± 0.9,16.2 ± 3.0,5.0 ± 0.4,99.7 ± 0.1,100.0 ± 0.0,99.7 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
ingot_buckle,96.0 ± 0.2,99.5 ± 0.0,95.8 ± 0.2,97.4 ± 0.0,61.0 ± 0.3,56.1 ± 0.5,84.1 ± 0.2,66.4 ± 2.9,32.5 ± 1.8,4.5 ± 0.5,99.5 ± 0.2,99.9 ± 0.0,99.1 ± 0.1,8.0 ± 0.0,5.3 ± 2.3,0.0 ± 0.0
insect_metal_parts,80.2 ± 1.0,96.3 ± 0.2,93.8 ± 0.3,94.0 ± 0.1,27.7 ± 0.5,31.0 ± 0.4,81.8 ± 0.2,78.7 ± 4.4,69.0 ± 5.5,50.6 ± 4.3,86.2 ± 0.7,98.0 ± 0.1,95.6 ± 0.4,65.3 ± 6.1,53.3 ± 2.3,45.3 ± 4.6
inverter_connector,97.2 ± 0.5,99.7 ± 0.1,97.1 ± 0.3,98.6 ± 0.0,64.8 ± 0.7,65.9 ± 0.1,95.4 ± 0.0,35.2 ± 7.2,17.1 ± 4.5,7.2 ± 3.5,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
jam_jar_model,68.9 ± 0.6,92.5 ± 0.4,91.0 ± 0.0,81.7 ± 0.1,36.4 ± 4.6,44.3 ± 1.9,75.3 ± 0.4,96.9 ± 1.1,91.0 ± 0.6,84.2 ± 0.6,73.7 ± 3.6,96.3 ± 0.7,94.1 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0
joystick_switch,98.0 ± 0.1,99.6 ± 0.0,97.7 ± 0.2,99.1 ± 0.0,63.4 ± 0.2,60.0 ± 0.1,97.2 ± 0.1,21.3 ± 4.4,6.9 ± 0.5,2.1 ± 1.2,97.1 ± 0.1,99.3 ± 0.0,99.7 ± 0.0,4.0 ± 0.0,4.0 ± 0.0,4.0 ± 0.0
kfc_push-key_switch,83.4 ± 0.7,97.3 ± 0.3,94.3 ± 0.1,91.2 ± 1.1,45.4 ± 12.6,50.3 ± 12.8,63.9 ± 3.4,84.5 ± 2.1,77.5 ± 0.0,54.3 ± 1.6,93.9 ± 0.7,98.9 ± 0.2,98.3 ± 0.1,16.0 ± 4.0,13.3 ± 6.1,9.3 ± 2.3
